id,title,tip_summary,recommended_action,expected_benefit,difficulty_level,audience,content_type
1,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,all_women,expert_tip
2,Building healthy daily routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,easy,new_mothers,expert_tip
3,Building healthy daily routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,easy,new_mothers,expert_tip
4,Healthy sleep habits for mothers,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,pregnant_women,expert_tip
5,Healthy sleep habits for mothers,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,pregnant_women,expert_tip
6,Breastfeeding practices,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,moderate,all_women,expert_tip
7,Managing fatigue in pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,pregnant_women,expert_tip
8,Healthy sleep habits for mothers,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,pregnant_women,expert_tip
9,Building healthy daily routines,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,all_women,expert_tip
10,Managing fatigue in pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,easy,new_mothers,expert_tip
11,Healthy sleep habits for mothers,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,enhances emotional well-being,easy,new_mothers,expert_tip
12,Hydration during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,pregnant_women,expert_tip
13,Building healthy daily routines,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,moderate,pregnant_women,expert_tip
14,Breastfeeding practices,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,all_women,expert_tip
15,Building healthy daily routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,pregnant_women,expert_tip
16,Nutrition during pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves maternal health,moderate,new_mothers,expert_tip
17,Managing fatigue in pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves recovery after childbirth,easy,all_women,expert_tip
18,Exercise for pregnant women,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,easy,new_mothers,expert_tip
19,Breastfeeding practices,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,reduces stress levels,easy,all_women,expert_tip
20,Postpartum recovery routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,moderate,pregnant_women,expert_tip
21,Emotional wellness during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,supports infant development,moderate,pregnant_women,expert_tip
22,Healthy sleep habits for mothers,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves maternal health,moderate,new_mothers,expert_tip
23,Hydration during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves recovery after childbirth,moderate,all_women,expert_tip
24,Managing fatigue in pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves maternal health,easy,new_mothers,expert_tip
25,Hydration during pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,reduces stress levels,easy,new_mothers,expert_tip
26,Breastfeeding practices,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,pregnant_women,expert_tip
27,Emotional wellness during pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,easy,all_women,expert_tip
28,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,moderate,new_mothers,expert_tip
