id,guide_title,overview,possible_symptom,recommended_action,risk_category,resource_type,content_format
1,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,low_risk,postpartum_support,educational_guide
2,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,low_risk,mental_health,educational_guide
3,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,low_risk,mental_health,educational_guide
4,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,high_risk,pregnancy_guide,educational_guide
5,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,moderate_risk,postpartum_support,educational_guide
6,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,high_risk,postpartum_support,educational_guide
7,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,low_risk,mental_health,educational_guide
8,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,high_risk,mental_health,educational_guide
9,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,high_risk,postpartum_support,educational_guide
10,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,sleep disturbances,consult healthcare providers,moderate_risk,pregnancy_guide,educational_guide
11,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,high_risk,postpartum_support,educational_guide
12,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,moderate_risk,mental_health,educational_guide
13,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,postpartum_support,educational_guide
14,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,high_risk,postpartum_support,educational_guide
15,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,low_risk,postpartum_support,educational_guide
16,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,high_risk,postpartum_support,educational_guide
17,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,low_risk,mental_health,educational_guide
18,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,low_risk,postpartum_support,educational_guide
19,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,low_risk,postpartum_support,educational_guide
20,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,difficulty bonding with baby,consult healthcare providers,low_risk,postpartum_support,educational_guide
21,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
22,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,sleep disturbances,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
23,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,low_risk,pregnancy_guide,educational_guide
24,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,anxiety and panic,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
25,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,moderate_risk,postpartum_support,educational_guide
26,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,low_risk,mental_health,educational_guide
27,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,low_risk,pregnancy_guide,educational_guide
28,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,low_risk,mental_health,educational_guide
29,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,high_risk,postpartum_support,educational_guide
30,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,low_risk,pregnancy_guide,educational_guide
31,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
32,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,mental_health,educational_guide
33,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,high_risk,postpartum_support,educational_guide
34,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
35,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
36,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,low_risk,pregnancy_guide,educational_guide
37,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
38,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,low_risk,postpartum_support,educational_guide
39,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,moderate_risk,postpartum_support,educational_guide
